id,city,province,latitude,longitude,seo_description
35041,Tczew,PL22,54.0869532,18.8000293,
35042,Bydgoszcz,PL04,53.1219648,18.0002529,
35043,Ożarów Mazowiecki,PL14,52.2080548,20.7941606,
35044,Szczecin,PL32,53.4301818,14.5509623,
35045,Wrocław,PL02,51.1089776,17.0326689,
35046,Warszawa,PL14,52.2319581,21.0067249,
35047,Poznań,PL30,52.4082663,16.9335199,
35048,Toruń,PL04,53.0102721,18.6048094,
35049,Gdynia,PL22,54.5164982,18.5402738,
35050,Żywiec,PL24,49.6890338,19.20305,
35051,Pokrówka,PL06,51.1004651,23.4514125,
35052,Zielona Góra,PL08,51.9383777,15.5050408,
35053,Reguły,PL14,52.1765336,20.8652372,
35054,Jędrzejów,PL26,50.6394435,20.3046116,
35055,Łódź,PL10,51.7687323,19.4569911,
35056,Polkowice,PL02,51.5039288,16.0713371,
35057,Kochanowice,PL24,50.7091402,18.751991,
35058,Kobierzyce,PL02,50.9720586,16.9298119,
35059,Wiśniowa,PL12,49.8688107,21.653553,
35060,Gręboszów,PL12,51.460919,19.4139027,
35061,Koziegłowy,PL24,50.5978707,19.1615203,
35062,Pieńsk,PL02,51.2457834,15.0449871,
35063,Gdańsk,PL22,54.3482907,18.6540233,
35064,Ustrzyki Dolne,PL18,49.4301874,22.5877003,
35065,Zabrze,PL24,50.3086154,18.7863749,
35066,Strzyżewice,PL06,51.0471984,22.4367336,
35067,Pleszew,PL30,51.8960985,17.7865673,
35068,Jelcz-Laskowice,PL02,51.0398306,17.3499638,
35069,Tyrawa Wołoska,PL18,49.57615,22.36187,
35070,Chojnice,PL22,53.6952912,17.5614973,
35071,Bielsko-Biała,PL24,49.822118,19.0448936,
35072,Bożków,PL02,50.5136569,16.5762286,
35073,Malbork,PL22,54.0358356,19.0368496,
35074,Przygodzice,PL30,51.5923682,17.8249672,
35075,Smołdzino,PL22,54.6627685,17.2160201,
35076,Wołomin,PL14,52.3468689,21.2420179,
35077,Oleśnica,PL02,51.2095314,17.3804559,
35078,Bystrzyca Kłodzka,PL02,50.2968684,16.652017,
35079,Niepołomice,PL12,50.0331163,20.2171599,
35080,Kłodzko,PL02,50.438651,16.6551878,
35081,Szklarska Poręba,PL02,50.8268011,15.5221261,
35082,Katowice,PL24,50.2598987,19.0215852,
35083,Kazimierz Dolny,PL06,51.3220058,21.947372,
35084,Herby,PL24,50.7512437,18.883244,
35085,Łęczna,PL06,51.3002941,22.886766,
35086,Rybnik,PL24,50.0955793,18.5419933,
35087,Świerzno,PL32,54.071579,16.8455487,
35088,Nysa,PL16,50.4738029,17.3324733,
35089,Limanowa,PL12,49.7061713,20.4217266,
35090,Kraków,PL12,50.0619474,19.9368564,
35091,Kościerzyna,PL22,54.1210215,17.9781656,
35092,Liniewo,PL22,54.0790817,18.2307257,
35093,Zakopane,PL12,49.2969114,19.9504753,
35094,Wronki,PL30,52.7100316,16.3742572,
35095,Ostrowiec Świętokrzyski,PL26,50.9398768,21.38743,
35096,Chorzów,PL24,50.2978791,18.9544466,
35097,Nowa Wieś,PL14,50.457263,20.82771,
35098,Wałbrzych,PL02,50.7659054,16.2825424,
35099,Olsztynek,PL28,53.5834201,20.2816198,
35100,Zamość,PL06,50.7170854,23.2525711,
35101,Zelów,PL10,51.4650276,19.2195805,
35102,Żary,PL08,51.6385162,15.1422487,
35103,Łagów,PL26,50.7754877,21.0839837,
35104,Sulejów,PL10,51.3549202,19.8890802,
35105,Dziemiany,PL22,54.0060686,17.7691413,
35106,Zgorzelec,PL02,51.1477005,15.0079028,
35107,Rutki-Kossaki,PL20,53.0892474,22.4403703,
35108,Tuchola,PL04,53.5880901,17.8590414,
35109,Wąbrzeźno,PL04,53.2799665,18.947293,
35110,Elbląg,PL28,54.1558708,19.4044583,
35111,Busko-Zdrój,PL26,50.46759,20.71919,
35112,Szczurowa,PL12,50.1190396,20.6373655,
35113,Siemiatycze,PL20,52.4278979,22.8627258,
35114,Świętajno,PL28,53.9988786,22.318426,
35115,Żory,PL24,50.0454961,18.6943479,
35116,Lesznowola,PL14,51.9122202,20.9020749,
35117,Głowno,PL10,51.9660873,19.7135665,
35118,Studzienice,PL22,54.0934349,17.5755453,
35119,Olsztyn,PL28,53.7766839,20.476507,
35120,Męcinka,PL02,51.0734952,16.0950013,
35121,Otwock,PL14,52.1041197,21.2681092,
35122,Tarnów,PL12,50.0123784,20.9880739,
35123,Białystok,PL20,53.132398,23.1591679,
35124,Tomaszów Mazowiecki,PL10,51.5316918,20.0084195,
35125,Blachownia,PL24,50.7820239,18.9684255,
35126,Mucharz,PL12,49.812017,19.5584908,
35127,Szydłowiec,PL14,51.2238922,20.8575141,
35128,Częstochowa,PL24,50.8120466,19.113213,
35129,Grudziądz,PL04,53.4876477,18.7557746,
35130,Ostrów,PL18,51.9259414,19.433536,
35131,Korczowa,PL18,49.9522144,23.0797832,
35132,Gorzów Wielkopolski,PL08,52.7309926,15.2400451,
35133,Olszowa,PL30,51.5889462,19.8611439,
35135,Stare Babice,PL14,52.252222,20.8406349,
35136,Myślenice,PL12,49.834608,19.9384283,
35137,Czechowice-Dziedzice,PL24,49.9112146,19.007564,
35138,Człuchów,PL22,53.6634472,17.3580748,
35139,Milicz,PL02,51.5319957,17.2752485,
35140,Garwolin,PL14,51.8973315,21.6149645,
35141,Rzeszów,PL18,50.0374531,22.0047174,
35142,Józefów,PL14,50.4808298,23.0540591,
35143,Kwidzyn,PL22,53.7335842,18.9319222,
